City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,aripuana,-9.1667,-60.6333,74.1,92,100,1.12,BR,1680050100
305,lindi,-10.0,39.7167,73.36,98,100,2.95,TZ,1680050100
306,yumen,40.2833,97.2,45.48,18,100,8.9,CN,1680050100
307,port augusta,-32.5,137.7667,71.19,51,9,11.14,AU,1680050100
308,tongchuan,35.0806,109.0897,58.5,35,6,3.27,CN,1680050102
309,samarai,-10.6167,150.6667,88.16,57,12,7.16,PG,1680050103
310,ormara,25.2088,64.6357,75.45,80,0,7.29,PK,1680050103
311,ust-tsilma,65.441,52.1498,12.69,94,31,7.81,RU,1680050104
312,altagracia de orituco,9.8601,-66.3814,69.78,91,68,5.84,VE,1680050104
313,marrakesh,31.6315,-8.0083,75.27,31,0,6.91,MA,1680049934
314,owase,34.0667,136.2,60.55,40,100,4.65,JP,1680050105
315,carutapera,-1.195,-46.02,80.92,77,100,10.96,BR,1680050105
316,beloha,-25.1667,45.05,62.4,74,0,5.59,MG,1680050106
317,ugoofaaru,5.6667,73.0,80.83,75,11,2.42,MV,1680050106
318,labuhan,-6.8844,112.2051,80.85,74,100,3.4,ID,1680050106
319,cayenne,4.9333,-52.3333,73.44,100,100,4.61,GF,1680050106
320,vanavara,60.34,102.2797,16.0,95,100,4.45,RU,1680050107
321,dumas,35.8656,-101.9732,51.53,17,0,12.66,US,1680049950
322,manaure,11.7751,-72.4445,77.14,82,100,22.97,CO,1680050107
323,byron bay,-28.65,153.6167,70.72,93,100,5.26,AU,1680050107
324,darovskoy,58.77,47.9564,26.62,90,90,5.77,RU,1680050108
325,macheng,31.1783,115.0319,60.66,62,100,0.87,CN,1680050108
326,marawi,7.9986,124.2928,73.6,88,100,3.78,PH,1680050108
327,sovetskiy,61.3614,63.5842,13.95,93,49,7.85,RU,1680050108
328,normandin,48.8333,-72.5321,30.51,69,100,6.91,CA,1680050108
329,padang,-0.9492,100.3543,75.25,83,48,2.1,ID,1680050109
330,asosa,10.0667,34.5333,67.91,21,28,3.53,ET,1680050109
331,kutum,14.2,24.6667,66.83,18,5,8.97,SD,1680050109
332,manadhoo,5.7667,73.3833,81.0,75,17,2.57,MV,1680050110
333,washougal,45.5826,-122.3534,48.07,87,100,18.41,US,1680050110
334,tadine,-21.55,167.8833,80.4,75,41,13.98,NC,1680050110
335,leh,34.1667,77.5833,14.0,83,43,6.85,IN,1680050111
336,sinnamary,5.3833,-52.95,79.18,78,100,16.06,GF,1680050111
337,sept-iles,50.2001,-66.3821,32.05,95,100,3.44,CA,1680049817
338,labuan,5.2767,115.2417,80.96,89,40,0.0,MY,1680050111
339,antalaha,-14.9003,50.2788,75.4,88,100,3.74,MG,1680050112
340,kavaratti,10.5669,72.642,80.11,72,17,4.7,IN,1680050112
341,souillac,-20.5167,57.5167,71.98,88,20,3.44,MU,1680050112
342,veraval,20.9,70.3667,72.79,77,0,10.2,IN,1680050112
343,forest grove,45.5198,-123.1107,46.04,86,100,5.99,US,1680049836
344,berlevag,70.8578,29.0864,24.75,86,100,4.61,NO,1680050113
345,sydney,-33.8679,151.2073,75.31,78,75,14.97,AU,1680050049
346,omboue,-1.5746,9.2618,77.23,87,100,2.95,GA,1680050113
347,walvis bay,-22.9575,14.5053,61.68,90,0,7.78,NA,1680049867
348,vila franca do campo,37.7167,-25.4333,59.41,83,3,20.11,PT,1680050114
349,upernavik,72.7868,-56.1549,-25.74,100,9,4.59,GL,1680050114
350,blythe,33.6103,-114.5964,79.03,8,0,6.17,US,1680049849
351,dauphin,51.1494,-100.0502,15.94,67,20,12.66,CA,1680050114
352,pestretsy,55.7531,49.6545,32.14,81,99,11.03,RU,1680050114
353,buzmeyin,38.0507,58.2056,55.13,62,0,2.3,TM,1680050115
354,bambari,5.768,20.6757,75.09,78,100,2.13,CF,1680050115
355,ust-kut,56.7938,105.7672,28.47,95,100,4.5,RU,1680050115
356,balabac,7.9868,117.0645,83.26,70,100,11.48,PH,1680050116
357,manta,-0.95,-80.7333,82.18,74,0,5.75,EC,1680050116
358,aklavik,68.2191,-135.0107,11.93,81,84,12.37,CA,1680049894
359,ferme-neuve,46.7001,-75.4493,20.35,95,32,1.72,CA,1680050117
360,isangel,-19.55,169.2667,82.54,72,99,7.09,VU,1680050117
361,laives,46.4228,11.3348,46.29,31,100,1.63,IT,1680050117
362,kaseda,31.4167,130.3167,58.8,54,100,2.75,JP,1680050117
363,kupang,-10.1667,123.5833,82.98,89,20,2.3,ID,1680050117
364,umm lajj,25.0213,37.2685,72.84,47,0,11.41,SA,1680050118
365,nyurba,63.2842,118.3319,-0.8,92,84,4.94,RU,1680050118
366,petropavlovka,50.6114,105.3196,41.59,60,21,3.67,RU,1680050118
